_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,4>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Hidden_act_m[2:0,0]<2:4,4>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Output_act_m[2:0,0]<2:3,4>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]
_D:	0	0	373	"K_L"	""	2	50	0.717605	0	0	0	0	0	0	0	0	0	0	0	0.95	0	2.62312e-05	0.744804	3.58638e-05	0	0.730469	0.000100015	0	0	0	0.817685	0.4045	0	0	0	0.000441564	0.817627	0.558282	0.0207034	0.0838576	0	0.0100265	9.03731e-05	0.637123	0	0.0379661	0	0.0474913	0.898784
_D:	0	0	374	"L_D"	""	2	50	2.38342	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0.886778	0.412099	0	0.00417449	0.799671	0	0	0	0.000215075	0	8.78378e-07	0	0.818885	7.4532e-06	0.0646464	0.000192887	9.241e-06	0.0385006	0.4102	0	0	0	0.0222163	6.29525e-06	0.707184	0.939847	0.0175651	0.0278693
_D:	0	0	375	"D_E"	""	2	50	0.962825	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0.401621	0.0222781	0.581304	0	0	0.830316	0	0.749405	0	0	0	0	0.864283	0	0	0.128032	0.0108132	0.00117556	0.00878936	0.0345917	0.853603	0	0	0.00417443	0.174505	0.840914	0.505657	0.00121255
_D:	0	0	376	"E_F"	""	2	50	0.552919	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0.893554	0	0	0.749069	0	0.774085	0	0	0.817712	6.70129e-08	4.90332e-08	0.00347421	0.00154707	0	0.0010286	0.000283403	0.283493	0	0.0449936	0	0.000205268	0.932692	0	0.0122562	0.282258	0.743585	0	0
_D:	0	0	377	"F_A"	""	2	50	1.31665	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0.00228386	0.863979	0	0.102897	0	0.564463	0	0	0	0.177455	0.780972	0	0.00376854	0.675232	0.0126644	0.507033	0.869758	0	0	0	7.41839e-07	0	0.909196	0.0117119	0.237113	0	0	0.700009
_D:	0	0	378	"A_B"	""	2	50	1.10087	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0.526378	0	0	0.0294934	0	0.221254	0.34101	0.0352896	0.00103357	0	0.824969	0.874287	0	0.822924	0	0.00145534	0.799919	0.00152985	0.721309	0.00311405	0	0.169126	0.022166	0	0.761961	0	0
_D:	0	0	379	"B_C"	""	2	50	0.682089	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0.00228365	0	0.15536	0.786052	0.751361	0	0.157188	1.14417e-06	0	0	0	0.721331	0	0	0	0.778735	0.0564582	0.503986	0.884736	2.7951e-06	0.0731908	0.0818581	3.54429e-07	0.0304557	0	0	0.0437198	0.654283
_D:	0	0	380	"C_A"	""	2	50	1.4471	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0.00155856	0.897087	0	0.000523873	0	0	0.044631	5.04919e-05	0.59497	0.764469	0.889981	0	0.0312891	0	0	0	0.759624	0	0	1.78958e-06	0.0211774	0	0.940173	0	0	4.39956e-06	0.00993423	0.75045
_D:	0	0	381	"A_B"	""	2	50	0.88747	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0.729718	0	0	0.000498775	0	0	4.68114e-07	0.735932	0.00066499	0	0.727576	0.824767	0.410618	0.400105	0	0.745073	0.80611	0.00250057	0.00869313	6.50761e-05	5.86368e-06	0.000415513	0.576486	0	0.47249	0	0.000702002
_D:	0	0	382	"B_C"	""	2	50	1.02893	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0.00173159	0	0.712722	0.759355	0.669138	0	0.77381	0.00463351	0	0	0	0.710212	0	0	0	0.0552947	0.0452586	0.00198522	0.88655	0.688175	0.044065	0.031411	3.02405e-06	0.105588	0	0	0.745217	0.00102048
